2021-04-08 18:26:02 INFO  ********* Starting Test Execution. ***********
2021-04-08 18:26:29 INFO  ****************************
2021-04-08 18:26:29 INFO  Scenario : Validate Digital Workspace options scenario
2021-04-08 18:26:29 INFO  Scenario start time: 2021-04-08 18:26:29
2021-04-08 18:26:34 INFO  Launching web application URL: http://node-1.nginx.portal.da-1.clic.qa.aws.veriday.net/login
2021-04-08 18:26:56 INFO  Writing 'da.client.admin@veriday.com' into web-element: Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='A5755:loginForm:email']'
2021-04-08 18:27:10 INFO  Waiting for the element to be visible : [[ChromeDriver: chrome on XP (2bc8c13649c8cc5b47fe78ebea1da096)] -> xpath: //input[@id='A5755:loginForm:email']]
2021-04-08 18:27:11 INFO  Writing 'Test12345' into web-element: [[ChromeDriver: chrome on XP (2bc8c13649c8cc5b47fe78ebea1da096)] -> xpath: //input[@id='A5755:loginForm:password']]
2021-04-08 18:27:11 INFO  Waiting for the element to be visible : [[ChromeDriver: chrome on XP (2bc8c13649c8cc5b47fe78ebea1da096)] -> xpath: //input[@id='A5755:loginForm:password']]
2021-04-08 18:27:11 INFO  Clicking on web-element: [[ChromeDriver: chrome on XP (2bc8c13649c8cc5b47fe78ebea1da096)] -> xpath: //input[@id='A5755:loginForm:login']]
2021-04-08 18:27:12 INFO  Waiting for the element to be visible : [[ChromeDriver: chrome on XP (2bc8c13649c8cc5b47fe78ebea1da096)] -> xpath: //input[@id='A5755:loginForm:login']]
2021-04-08 18:27:12 INFO  Waiting for the element to be clickable : [[ChromeDriver: chrome on XP (2bc8c13649c8cc5b47fe78ebea1da096)] -> xpath: //input[@id='A5755:loginForm:login']]
2021-04-08 18:27:31 INFO  Clicked on web-element: [[ChromeDriver: chrome on XP (2bc8c13649c8cc5b47fe78ebea1da096)] -> xpath: //input[@id='A5755:loginForm:login']]
2021-04-08 18:27:33 INFO  Waiting for the element to be clickable : [[ChromeDriver: chrome on XP (2bc8c13649c8cc5b47fe78ebea1da096)] -> xpath: //h3[contains(text(),'Admin HQ')]]
2021-04-08 18:27:33 INFO  Clicking on web-element: [[ChromeDriver: chrome on XP (2bc8c13649c8cc5b47fe78ebea1da096)] -> xpath: //h3[contains(text(),'Admin HQ')]]
2021-04-08 18:27:33 INFO  Waiting for the element to be visible : [[ChromeDriver: chrome on XP (2bc8c13649c8cc5b47fe78ebea1da096)] -> xpath: //h3[contains(text(),'Admin HQ')]]
2021-04-08 18:27:33 INFO  Waiting for the element to be clickable : [[ChromeDriver: chrome on XP (2bc8c13649c8cc5b47fe78ebea1da096)] -> xpath: //h3[contains(text(),'Admin HQ')]]
2021-04-08 18:27:37 INFO  Clicked on web-element: [[ChromeDriver: chrome on XP (2bc8c13649c8cc5b47fe78ebea1da096)] -> xpath: //h3[contains(text(),'Admin HQ')]]
2021-04-08 18:27:57 INFO  Waiting for the element to be clickable : Proxy element for: DefaultElementLocator 'By.xpath: //button[normalize-space()='Search for a Hub']'
2021-04-08 18:28:04 INFO  Clicking on web-element: [[ChromeDriver: chrome on XP (2bc8c13649c8cc5b47fe78ebea1da096)] -> xpath: //button[normalize-space()='Search for a Hub']]
2021-04-08 18:28:04 INFO  Waiting for the element to be visible : [[ChromeDriver: chrome on XP (2bc8c13649c8cc5b47fe78ebea1da096)] -> xpath: //button[normalize-space()='Search for a Hub']]
2021-04-08 18:28:04 INFO  Waiting for the element to be clickable : [[ChromeDriver: chrome on XP (2bc8c13649c8cc5b47fe78ebea1da096)] -> xpath: //button[normalize-space()='Search for a Hub']]
2021-04-08 18:28:08 INFO  Clicked on web-element: [[ChromeDriver: chrome on XP (2bc8c13649c8cc5b47fe78ebea1da096)] -> xpath: //button[normalize-space()='Search for a Hub']]
2021-04-08 18:28:08 INFO  Clicking on web-element: [[ChromeDriver: chrome on XP (2bc8c13649c8cc5b47fe78ebea1da096)] -> xpath: //a[normalize-space()='Back to Digital Workspace']]
